,type_of_food,postcode,count
1276,Moroccan,1NT,1
1277,Nigerian,8EY,1
1278,Pakistani,8DD,3
1279,Pakistani,7DL,2
1280,Pakistani,2DE,1
1281,Pakistani,6UY,1
1282,Pasta,1NR,1
1283,Peri Peri,7AU,3
1284,Peri Peri,1JA,2
1285,Peri Peri,2RJ,2
1286,Peri Peri,3DF,2
1287,Peri Peri,4EB,2
1288,Peri Peri,4JJ,2
1289,Peri Peri,1PQ,1
1290,Peri Peri,1XN,1
1291,Peri Peri,2NU,1
1292,Peri Peri,2PF,1
1293,Peri Peri,3DG,1
1294,Peri Peri,3ED,1
1295,Persian,5SA,3
1296,Persian,0AH,2
1297,Persian,1BF,2
1298,Persian,4EE,2
1299,Persian,5TH,2
1300,Persian,8TD,2
1301,Persian,6AH,1
1302,Pick n Mix,6JA,2
1303,Pizza,0DR,5
1304,Pizza,4AA,5
1305,Pizza,4JR,5
1306,Pizza,6AA,5
1307,Pizza,1BA,4
1308,Pizza,2QS,4
1309,Pizza,7AG,4
1310,Pizza,0SH,3
1311,Pizza,1AB,3
1312,Pizza,1HW,3
1313,Pizza,1NL,3
1314,Pizza,3BB,3
1315,Pizza,4BL,3
1316,Pizza,4QN,3
1317,Pizza,6EY,3
1318,Pizza,6QE,3
1319,Pizza,7AY,3
1320,Pizza,7JD,3
1321,Pizza,8AS,3
1322,Pizza,8RB,3
1323,Pizza,8TF,3
1324,Pizza,8XQ,3
1325,Pizza,9BY,3
1326,Pizza,9LW,3
1327,Pizza,9QA,3
1328,Pizza,0AA,2
1329,Pizza,0BE,2
1330,Pizza,0EA,2
1331,Pizza,0ED,2
1332,Pizza,0ES,2
1333,Pizza,0JP,2
1334,Pizza,0LA,2
1335,Pizza,0se,2
1336,Pizza,1AF,2
1337,Pizza,1AL,2
1338,Pizza,1AX,2
1339,Pizza,1BB,2
1340,Pizza,1BT,2
1341,Pizza,1DH,2
1342,Pizza,1DL,2
1343,Pizza,1DT,2
1344,Pizza,1HA,2
1345,Pizza,1JF,2
1346,Pizza,1LE,2
1347,Pizza,1PH,2
1348,Pizza,1PZ,2
1349,Pizza,1RJ,2
1350,Pizza,2AJ,2
1351,Pizza,2AT,2
1352,Pizza,2EA,2
1353,Pizza,2ER,2
1354,Pizza,2RG,2
1355,Pizza,2RH,2
1356,Pizza,2UZ,2
1357,Pizza,3AN,2
1358,Pizza,3AS,2
1359,Pizza,3AZ,2
1360,Pizza,3BA,2
1361,Pizza,3BR,2
1362,Pizza,3DH,2
1363,Pizza,3HS,2
1364,Pizza,3PA,2
1365,Pizza,3PR,2
1366,Pizza,4AE,2
1367,Pizza,4BD,2
1368,Pizza,4DB,2
1369,Pizza,4EX,2
1370,Pizza,4HA,2
1371,Pizza,4HW,2
1372,Pizza,4JP,2
1373,Pizza,4LD,2
1374,Pizza,4PH,2
1375,Pizza,4PS,2
1376,Pizza,4PY,2
1377,Pizza,4QT,2
1378,Pizza,4RA,2
1379,Pizza,5HQ,2
1380,Pizza,5NS,2
1381,Pizza,6AD,2
1382,Pizza,6AU,2
1383,Pizza,6BP,2
1384,Pizza,6JU,2
1385,Pizza,6PA,2
1386,Pizza,6QA,2
1387,Pizza,6XJ,2
1388,Pizza,7ES,2
1389,Pizza,7JN,2
1390,Pizza,7JZ,2
1391,Pizza,7NR,2
1392,Pizza,7PB,2
1393,Pizza,7RP,2
1394,Pizza,7SU,2
1395,Pizza,8DA,2
1396,Pizza,8EE,2
1397,Pizza,8FH,2
1398,Pizza,8JU,2
1399,Pizza,8LH,2
1400,Pizza,8ND,2
1401,Pizza,8NJ,2
1402,Pizza,9HB,2
1403,Pizza,9JP,2
1404,Pizza,9JQ,2
1405,Pizza,9LN,2
1406,Pizza,9LY,2
1407,Pizza,9PW,2
1408,Pizza,9SA,2
1409,Pizza,9TQ,2
1410,Pizza,0AD,1
1411,Pizza,0AT,1
1412,Pizza,0AZ,1
1413,Pizza,0BL,1
1414,Pizza,0DA,1
1415,Pizza,0DL,1
1416,Pizza,0DN,1
1417,Pizza,0HG,1
1418,Pizza,0JH,1
1419,Pizza,0JZ,1
1420,Pizza,0NB,1
1421,Pizza,0NH,1
1422,Pizza,0QN,1
1423,Pizza,0QX,1
1424,Pizza,0RE,1
1425,Pizza,0RR,1
1426,Pizza,0RW,1
1427,Pizza,0SP,1
1428,Pizza,0YA,1
1429,Pizza,1AH,1
1430,Pizza,1AN,1
1431,Pizza,1AU,1
1432,Pizza,1BU,1
1433,Pizza,1BY,1
1434,Pizza,1DE,1
1435,Pizza,1DF,1
1436,Pizza,1DR,1
1437,Pizza,1EH,1
1438,Pizza,1EP,1
1439,Pizza,1GA,1
1440,Pizza,1GJ,1
1441,Pizza,1HD,1
1442,Pizza,1HN,1
1443,Pizza,1HY,1
1444,Pizza,1JH,1
1445,Pizza,1JX,1
1446,Pizza,1LH,1
1447,Pizza,1LY,1
1448,Pizza,1NE,1
1449,Pizza,1NG,1
1450,Pizza,1NT,1
1451,Pizza,1NX,1
1452,Pizza,1PB,1
1453,Pizza,1PF,1
1454,Pizza,1QJ,1
1455,Pizza,1QW,1
1456,Pizza,1QZ,1
1457,Pizza,1RH,1
1458,Pizza,1RW,1
1459,Pizza,1SA,1
1460,Pizza,1SD,1
1461,Pizza,1SP,1
1462,Pizza,1ST,1
1463,Pizza,1SY,1
1464,Pizza,1TA,1
1465,Pizza,1UQ,1
1466,Pizza,1UX,1
1467,Pizza,1WE,1
1468,Pizza,1XF,1
1469,Pizza,1XN,1
1470,Pizza,2AE,1
1471,Pizza,2BA,1
1472,Pizza,2BJ,1
1473,Pizza,2BW,1
1474,Pizza,2DG,1
1475,Pizza,2DZ,1
1476,Pizza,2EQ,1
1477,Pizza,2ET,1
1478,Pizza,2EU,1
1479,Pizza,2FX,1
1480,Pizza,2JE,1
1481,Pizza,2JN,1
1482,Pizza,2JS,1
1483,Pizza,2NB,1
1484,Pizza,2NL,1
1485,Pizza,2PS,1
1486,Pizza,2PT,1
1487,Pizza,2PX,1
1488,Pizza,2QD,1
1489,Pizza,2QE,1
1490,Pizza,2QH,1
1491,Pizza,2RD,1
1492,Pizza,2RL,1
1493,Pizza,2RQ,1
1494,Pizza,2RY,1
1495,Pizza,2SH,1
1496,Pizza,2SQ,1
1497,Pizza,2SR,1
1498,Pizza,2SW,1
1499,Pizza,2TD,1
1500,Pizza,2TH,1
1501,Pizza,2ah,1
1502,Pizza,3BL,1
1503,Pizza,3BN,1
1504,Pizza,3BS,1
1505,Pizza,3DA,1
1506,Pizza,3DD,1
1507,Pizza,3DT,1
1508,Pizza,3DY,1
1509,Pizza,3EL,1
1510,Pizza,3EN,1
1511,Pizza,3ER,1
1512,Pizza,3HB,1
1513,Pizza,3HJ,1
1514,Pizza,3HN,1
1515,Pizza,3HP,1
1516,Pizza,3JP,1
1517,Pizza,3JY,1
1518,Pizza,3LJ,1
1519,Pizza,3NQ,1
1520,Pizza,3PB,1
1521,Pizza,3PN,1
1522,Pizza,3QS,1
1523,Pizza,3QT,1
1524,Pizza,3QX,1
1525,Pizza,3QY,1
1526,Pizza,3RR,1
1527,Pizza,3SD,1
1528,Pizza,3TH,1
1529,Pizza,3YL,1
1530,Pizza,4AT,1
1531,Pizza,4AU,1
1532,Pizza,4AW,1
1533,Pizza,4AX,1
1534,Pizza,4BS,1
1535,Pizza,4DJ,1
1536,Pizza,4DX,1
1537,Pizza,4EQ,1
1538,Pizza,4FT,1
1539,Pizza,4HE,1
1540,Pizza,4JB,1
1541,Pizza,4LQ,1
1542,Pizza,4NG,1
1543,Pizza,4NR,1
1544,Pizza,4NT,1
1545,Pizza,4QF,1
1546,Pizza,4RE,1
1547,Pizza,4SF,1
1548,Pizza,4TN,1
1549,Pizza,4UN,1
1550,Pizza,5AA,1
1551,Pizza,5BX,1
1552,Pizza,5DJ,1
1553,Pizza,5DX,1
1554,Pizza,5ED,1
1555,Pizza,5EY,1
1556,Pizza,5FD,1
1557,Pizza,5HA,1
1558,Pizza,5HS,1
1559,Pizza,5JD,1
1560,Pizza,5NW,1
1561,Pizza,5PD,1
1562,Pizza,5QG,1
1563,Pizza,5QL,1
1564,Pizza,5QP,1
1565,Pizza,5QQ,1
1566,Pizza,5RH,1
1567,Pizza,5RW,1
1568,Pizza,5SP,1
1569,Pizza,5TE,1
1570,Pizza,5TG,1
1571,Pizza,5UF,1
1572,Pizza,6AF,1
1573,Pizza,6AL,1
1574,Pizza,6BX,1
1575,Pizza,6DL,1
1576,Pizza,6DY,1
1577,Pizza,6EN,1
1578,Pizza,6FN,1
1579,Pizza,6LL,1
1580,Pizza,6NB,1
1581,Pizza,6OY,1
1582,Pizza,6QL,1
1583,Pizza,6RR,1
1584,Pizza,6RT,1
1585,Pizza,6RY,1
1586,Pizza,6UN,1
1587,Pizza,6UT,1
1588,Pizza,6YA,1
1589,Pizza,7AE,1
1590,Pizza,7AU,1
1591,Pizza,7BF,1
1592,Pizza,7BZ,1
1593,Pizza,7DR,1
1594,Pizza,7DY,1
1595,Pizza,7EE,1
1596,Pizza,7EG,1
1597,Pizza,7FW,1
1598,Pizza,7HG,1
1599,Pizza,7HX,1
1600,Pizza,7JB,1
1601,Pizza,7JE,1
1602,Pizza,7JW,1
1603,Pizza,7LB,1
1604,Pizza,7LS,1
1605,Pizza,7NT,1
1606,Pizza,7PG,1
1607,Pizza,7PP,1
1608,Pizza,7RA,1
1609,Pizza,7RB,1
1610,Pizza,7RY,1
1611,Pizza,7SW,1
1612,Pizza,7TD,1
1613,Pizza,8AA,1
1614,Pizza,8AB,1
1615,Pizza,8AP,1
1616,Pizza,8BT,1
1617,Pizza,8DF,1
1618,Pizza,8EQ,1
1619,Pizza,8EW,1
1620,Pizza,8GY,1
1621,Pizza,8JD,1
1622,Pizza,8JH,1
1623,Pizza,8JL,1
1624,Pizza,8JS,1
1625,Pizza,8NB,1
1626,Pizza,8NE,1
1627,Pizza,8NS,1
1628,Pizza,8NT,1
1629,Pizza,8PE,1
1630,Pizza,8PL,1
1631,Pizza,8PP,1
1632,Pizza,8PY,1
1633,Pizza,8RN,1
1634,Pizza,8RS,1
1635,Pizza,8SS,1
1636,Pizza,8XB,1
1637,Pizza,9AA,1
1638,Pizza,9AD,1
1639,Pizza,9AE,1
1640,Pizza,9AF,1
1641,Pizza,9AL,1
1642,Pizza,9AN,1
1643,Pizza,9AT,1
1644,Pizza,9DB,1
1645,Pizza,9ES,1
1646,Pizza,9ET,1
1647,Pizza,9FL,1
1648,Pizza,9JR,1
1649,Pizza,9LS,1
1650,Pizza,9LU,1
1651,Pizza,9NA,1
1652,Pizza,9NJ,1
1653,Pizza,9PE,1
1654,Pizza,9PJ,1
1655,Pizza,9PP,1
1656,Pizza,9QU,1
1657,Pizza,9RW,1
1658,Pizza,9TR,1
1659,Pizza,9XD,1
1660,Polish,1DL,2
1661,Polish,5AF,1
1662,Portuguese,2DT,1
1663,Portuguese,3LU,1
1664,Punjabi,2AD,1
1665,Russian,9ER,2
1666,Sandwiches,0DE,2
1667,Sandwiches,2RD,1
1668,Sandwiches,5DX,1
1669,Sandwiches,5QQ,1
1670,Sandwiches,6QR,1
1671,Sandwiches,7AS,1
1672,Sandwiches,7DF,1
1673,Sandwiches,8JJ,1
1674,Sandwiches,8SJ,1
1675,South Curry,0LU,2
1676,South Curry,7RL,2
1677,South Curry,1FD,1
1678,South Curry,5BD,1
1679,Spanish,8JY,1
1680,Sri-lankan,1PQ,2
1681,Sri-lankan,3QG,1
1682,Sri-lankan,8BH,1
1683,Sri-lankan,9HR,1
1684,Sushi,9PX,2
1685,Sushi,3EH,1
1686,Sushi,9RA,1
1687,Thai,8UG,7
1688,Thai,1QR,2
1689,Thai,2HB,2
1690,Thai,3JY,2
1691,Thai,3RX,2
1692,Thai,8HY,2
1693,Thai,8LQ,2
1694,Thai,8NX,2
1695,Thai,8NY,2
1696,Thai,0DQ,1
1697,Thai,1AF,1
1698,Thai,1DG,1
1699,Thai,1JA,1
1700,Thai,1JD,1
1701,Thai,1LA,1
1702,Thai,1PQ,1
1703,Thai,1QW,1
1704,Thai,1TX,1
1705,Thai,2QS,1
1706,Thai,3BP,1
1707,Thai,3DU,1
1708,Thai,5PT,1
1709,Thai,6LG,1
1710,Thai,7QY,1
1711,Thai,8PT,1
1712,Thai,8YJ,1
1713,Turkish,1QT,3
1714,Turkish,3DH,3
1715,Turkish,4QE,3
1716,Turkish,5HY,3
1717,Turkish,6BD,3
1718,Turkish,7RE,3
1719,Turkish,2TZ,2
1720,Turkish,4NH,2
1721,Turkish,4RA,2
1722,Turkish,6AF,2
1723,Turkish,6QN,2
1724,Turkish,6RG,2
1725,Turkish,7BD,2
1726,Turkish,8AG,2
1727,Turkish,9SB,2
1728,Turkish,0PD,1
1729,Turkish,1AF,1
1730,Turkish,1EX,1
1731,Turkish,1HA,1
1732,Turkish,1JQ,1
1733,Turkish,1QE,1
1734,Turkish,1QS,1
1735,Turkish,1RU,1
1736,Turkish,1SH,1
1737,Turkish,2AH,1
1738,Turkish,2BH,1
1739,Turkish,2HL,1
1740,Turkish,2HU,1
1741,Turkish,2NZ,1
1742,Turkish,2QH,1
1743,Turkish,2XZ,1
1744,Turkish,3LB,1
1745,Turkish,3XS,1
1746,Turkish,4AF,1
1747,Turkish,4DF,1
1748,Turkish,4PH,1
1749,Turkish,5AA,1
1750,Turkish,5AQ,1
1751,Turkish,5BA,1
1752,Turkish,5JF,1
1753,Turkish,5PH,1
1754,Turkish,5QS,1
1755,Turkish,6NG,1
1756,Turkish,6NX,1
1757,Turkish,7AD,1
1758,Turkish,7NW,1
1759,Turkish,7PJ,1
1760,Turkish,7SE,1
1761,Turkish,7SY,1
1762,Turkish,8EU,1
1763,Turkish,8HH,1
1764,Turkish,8HJ,1
1765,Turkish,9RE,1
1766,Vegetarian,4PA,2
1767,Vietnamese,8DP,2
